模板组 ID,编号,表单名,路径,部门,entities,chain,basis
FG-process-version-01,GRSS-KF-JL-01,产品开发评审记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品开发评审记录.md,产品开发部,"ChangeEvent, ChangeVerificationRecord, Document, Employee, HazardAssessment, Inspection, Material, NonConformance, ProcessRecord, ProcessStep, Product",研发/变更,v3:研发版本
FG-quality-ccp-01,GRSS-KF-JL-02,产品操作规程,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品操作规程.md,产品开发部,"CCPPoint, Document, Employee, Inspection, ProcessStep, Product, Recipe",研发/变更,v3:CCP
FG-process-version-01,GRSS-KF-JL-03,产品更改申请表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品更改申请表.md,产品开发部,"ChangeApproval, ChangeEvent, Document, Employee, Product",研发/变更,v3:研发版本
FG-master-product-01,GRSS-KF-JL-04,产品标签信息记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品标签信息记录.md,产品开发部,"Document, Employee, HazardAssessment, Product, Recipe",研发/变更,v3:产品主数据扩展
FG-master-product-01,GRSS-KF-JL-05,产品规格书,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品规格书/产品规格书.md,产品开发部,"Document, Employee, Inspection, Product, Recipe",研发/变更,v3:产品主数据扩展
FG-process-parameter-spec-01,GRSS-KF-JL-06,产品配方以及工艺参数,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品配方以及工艺参数.md,产品开发部,"Document, Employee, Material, ProcessStep, Product, Recipe",研发/变更,v3:工艺参数标准
FG-process-version-01,GRSS-KF-JL-07,产品验证记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品验证记录表.md,产品开发部,"ChangeVerificationRecord, Document, Employee, HazardAssessment, Inspection, Material, ProcessStep, Product, Supplier",研发/变更,v3:研发版本
FG-process-step-01,GRSS-KF-JL-08,工艺流程图确认记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/工艺流程图确认记录.md,产品开发部,"ChangeVerificationRecord, Document, Employee, Location, Product, ProductionBatch",研发/变更,v3:工艺步骤
FG-process-version-01,GRSS-KF-JL-09,新产品开发申请书,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/新产品开发申请书.md,产品开发部,"Document, Employee, HazardAssessment, ProcessStep, Product",主数据/基础档案,v3:研发版本
FG-quality-ccp-01,GRSS-KF-JL-10,新产品开发计划书,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/新产品开发计划书.md,产品开发部,"CCPPoint, Document, HazardAssessment, Inspection, ProcessStep, Product, Recipe",研发/变更,v3:CCP
FG-process-version-01,GRSS-KF-JL-11,研发实验记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/研发实验记录.md,产品开发部,"Document, Employee, EnvironmentRecord, Inspection, MaterialLot, ProcessRecord, ProcessStep, Recipe",研发/变更,v3:研发版本
FG-batch-inventory-movement-01,GRSS-CC-JL-01,上车单,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/上车单.md,仓储组,"Document, Employee, InventoryMovement, Product, ProductionBatch",仓储/库存,v3:库存流转
